Filename,Class,Width,Height,Format
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0055ESUKGS38.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\00H9IGEXR8N1.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\01KOCK58MEGR.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\02NB4GQNWVRW.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\04J91BOQEP2Q.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\05KGHV2JSURU.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\09HREQ5U6TO6.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0DSM1NY3WE0O.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0E5J7IQQB414.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0F8W042J233H.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0FL7OVCT4Y9W.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0FOF1A78CBIQ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0FS7ADDU6GJS.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0GU70F192PPQ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0GU7T37GZEVJ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0H9C6A9QQNUZ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0HQK3LDFWECJ.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0IL23B34RD5X.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0K7KCGCUUJCD.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0M9LXTP0R5W8.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0MMGNRQ6TCE8.jpg,animal fish,256,256,JPEG
C:/Users/conta/OneDrive/Desktop/Multiclass/data/train\animal fish\0O659R992OBY.jpg,animal fish,256,256,JPEG
